User ID,Frequency
1,49
2,43
3,34
4,30
7,103
8,18
9,82
10,86
11,5
12,149
14,75
15,115
16,57
17,40
18,26
19,142
20,35
21,28
23,50
24,62
26,61
27,20
28,40
29,40
30,56
31,21
32,25
33,38
34,102
35,20
37,42
38,31
39,55
40,68
42,38
43,109
44,12
45,86
46,43
47,29
48,26
49,76
50,134
51,33
52,9
53,52
54,20
55,27
56,123
57,55
58,107
59,52
60,42
61,42
62,29
63,27
65,126
66,6
67,68
69,235
70,98
71,142
72,29
73,117
74,90
75,40
76,9
78,26
79,11
80,74
81,96
82,19
83,55
84,482
85,34
86,33
87,46
88,13
89,7
90,125
91,25
92,51
93,34
94,6
95,93
96,74
97,55
98,49
99,79
100,204
101,20
102,10
103,85
104,27
105,39
107,66
108,55
110,21
111,10
112,21
113,79
114,48
115,28
116,67
117,56
118,39
119,135
120,233
121,316
122,41
123,95
124,42
125,42
126,38
127,12
128,20
129,45
130,49
131,38
132,37
133,25
134,40
135,30
136,63
138,40
139,32
140,33
141,47
142,32
143,4
144,94
145,84
148,38
149,59
150,39
151,4
152,33
153,104
155,48
157,23
158,49
159,41
160,33
161,19
162,38
163,34
164,78
166,39
167,39
168,23
169,77
170,50
171,67
172,137
173,175
175,34
176,69
177,13
178,254
179,79
180,83
181,120
182,59
183,16
184,179
185,445
186,58
187,178
188,127
189,34
190,32
191,84
192,17
193,25
194,68
195,67
196,50
198,29
199,63
200,12
201,22
202,113
203,38
204,44
206,62
207,120
208,80
210,65
211,37
212,82
213,29
214,55
215,73
216,57
217,185
218,67
219,28
220,28
221,43
222,23
225,96
226,25
227,28
228,69
229,11
230,57
231,43
233,30
234,6
235,76
237,13
238,125
240,37
241,19
242,36
243,65
244,48
245,46
246,158
247,37
248,39
250,36
251,35
252,22
253,31
254,71
255,36
256,77
257,26
258,36
259,47
260,59
261,117
262,1
264,41
265,21
266,44
267,213
269,30
270,70
271,99
272,75
273,55
274,34
275,75
276,92
277,56
278,22
279,36
280,185
281,201
282,33
283,53
284,21
285,30
286,16
287,91
288,68
289,58
290,31
291,57
292,65
293,375
294,34
295,53
296,70
297,37
298,37
299,23
300,60
301,67
302,32
303,63
304,46
305,25
306,56
307,64
308,22
309,38
310,41
311,49
312,48
313,69
314,59
315,305
316,68
317,59
318,114
319,117
320,39
321,54
322,43
323,45
324,41
325,40
326,20
327,32
328,24
329,36
330,59
331,56
332,48
333,39
334,31
335,290
337,61
338,39
339,31
340,43
342,56
343,29
344,82
345,26
346,41
347,100
348,55
349,252
350,7
351,13
352,28
353,44
354,675
355,89
356,40
357,29
358,33
359,138
360,66
361,31
362,63
363,52
364,76
365,110
366,13
367,35
368,53
370,24
371,380
372,115
373,106
374,50
375,29
376,27
377,65
378,36
379,27
380,146
381,82
382,6
383,78
384,440
385,57
386,90
387,24
388,27
389,73
390,102
391,66
392,26
393,5
394,8
395,19
396,157
397,73
398,77
399,24
400,30
401,30
402,72
403,14
404,78
405,40
406,44
407,28
408,20
409,54
410,19
412,111
413,61
414,41
415,40
416,22
417,75
418,25
419,88
420,31
421,43
422,10
423,67
424,93
425,123
427,39
428,79
429,15
430,11
431,60
432,133
433,21
434,24
435,25
436,48
438,61
439,220
440,271
441,36
442,24
443,235
444,261
445,280
446,41
447,10
448,262
449,46
450,46
452,28
453,32
454,22
455,34
456,70
457,26
458,389
459,13
460,3
461,66
462,31
463,48
464,70
465,45
466,13
467,107
468,105
469,19
470,194
471,96
472,47
473,65
474,149
475,105
478,161
480,94
481,54
482,112
483,49
484,159
485,4
487,6
489,57
490,2
491,36
492,61
493,63
494,47
495,236
496,38
497,37
498,64
499,32
500,42
501,25
503,150
504,74
505,59
506,53
507,92
508,32
509,56
510,81
511,75
512,59
513,39
514,87
515,96
516,75
518,74
519,126
520,16
521,171
524,44
525,102
526,89
527,487
528,228
529,202
530,45
531,191
532,13
533,85
534,44
535,34
536,35
537,74
539,58
540,193
541,47
543,72
544,28
548,26
549,69
550,17
553,75
554,24
556,9
557,47
558,12
559,99
560,103
561,39
562,90
563,1
564,32
565,124
566,66
567,112
568,51
569,32
570,31
571,67
572,73
573,71
574,46
575,69
576,20
577,35
578,51
579,74
581,104
582,144
584,78
585,11
586,28
588,33
