UserID,CheckIn,LocationFrequency,ActivityTime,Cluster
2,116,33,0,1
3,111,25,1,1
4,127,26,2,1
9,152,63,0,1
10,178,68,5,1
11,63,1,7,1
17,123,35,2,1
18,80,21,0,1
19,331,80,2,1
20,196,33,1,1
27,97,12,3,1
33,121,14,3,1
34,318,56,2,1
37,143,34,2,1
38,86,19,1,1
48,85,23,0,1
54,82,12,1,1
57,119,21,0,1
58,107,80,3,1
66,97,4,0,1
69,404,58,2,1
70,275,41,1,1
71,153,82,0,1
76,99,9,0,1
88,181,11,5,1
96,220,55,0,1
102,78,10,0,1
105,131,25,2,1
108,147,37,3,1
111,110,9,2,1
112,73,20,3,1
114,98,34,0,1
119,329,120,6,1
120,511,56,3,1
125,101,13,4,1
131,78,36,8,1
134,90,36,0,1
136,144,55,0,1
139,126,18,4,1
142,83,22,3,1
166,92,38,1,1
176,167,33,0,1
177,80,11,1,1
179,166,54,1,1
181,383,13,5,1
184,323,115,6,1
185,1530,290,0,1
193,268,16,0,1
195,119,55,2,1
196,104,27,5,1
202,228,95,3,1
203,98,27,0,1
207,297,43,0,1
208,267,64,0,1
210,140,59,2,1
230,118,36,4,1
231,119,39,0,1
233,103,26,2,1
237,67,2,0,1
238,212,61,0,1
248,87,32,0,1
250,145,32,1,1
252,77,12,0,1
255,141,30,0,1
261,168,14,1,1
265,76,17,1,1
267,500,87,1,1
270,155,44,7,1
275,151,31,0,1
279,95,33,2,1
280,533,158,2,1
284,87,14,3,1
285,76,21,5,1
289,211,32,0,1
290,98,20,1,1
291,180,44,0,1
294,104,16,0,1
295,251,38,0,1
316,112,30,6,1
317,130,43,5,1
322,112,21,2,1
325,92,11,2,1
328,104,21,1,1
329,73,28,3,1
330,155,57,0,1
333,108,6,8,1
334,139,26,1,1
335,424,108,1,1
343,150,20,1,1
345,65,26,4,1
349,778,178,0,1
352,58,22,0,1
355,332,57,0,1
358,84,27,2,1
360,153,61,0,1
361,109,16,1,1
363,117,47,5,1
366,106,12,3,1
368,90,39,1,1
371,702,127,4,1
374,128,25,2,1
384,965,205,5,1
387,102,19,0,1
389,102,54,0,1
392,82,11,0,1
394,74,8,1,1
397,143,37,2,1
399,53,15,0,1
401,108,29,1,1
406,124,42,7,1
410,62,17,1,1
413,147,61,7,1
414,97,37,3,1
416,81,19,2,1
417,179,58,0,1
418,80,22,0,1
419,134,28,2,1
420,70,21,1,1
423,122,45,0,1
429,126,11,5,1
435,137,8,1,1
441,170,19,1,1
449,80,43,2,1
450,126,20,2,1
457,95,24,2,1
460,101,2,1,1
468,225,79,0,1
471,252,46,1,1
474,327,43,0,1
480,234,53,3,1
483,143,11,1,1
484,719,40,2,1
485,113,4,0,1
493,205,30,5,1
504,173,53,0,1
505,156,20,1,1
508,86,12,0,1
515,225,91,0,1
519,392,74,1,1
527,802,146,0,1
531,316,62,3,1
534,91,36,3,1
537,133,35,1,1
550,85,14,0,1
558,127,9,5,1
574,110,41,0,1
575,134,37,2,1
582,449,76,0,1
584,170,12,3,1
598,122,42,2,1
604,97,46,7,1
609,141,34,6,1
611,108,15,2,1
614,101,23,0,1
619,191,39,2,1
628,255,80,0,1
629,118,33,2,1
630,125,35,0,1
632,127,33,3,1
633,192,69,2,1
636,91,13,0,1
637,119,39,3,1
638,369,38,3,1
644,78,22,3,1
646,352,99,3,1
651,118,18,0,1
654,189,51,2,1
672,115,21,1,1
679,80,19,3,1
692,134,41,1,1
701,100,24,3,1
704,169,45,4,1
706,772,358,4,1
716,121,25,2,1
719,106,5,1,1
725,130,24,0,1
726,421,227,1,1
728,144,34,1,1
736,160,34,2,1
738,77,18,0,1
745,372,160,2,1
746,175,47,0,1
750,348,48,1,1
755,194,68,2,1
757,219,53,0,1
762,147,60,3,1
772,106,39,0,1
776,140,35,1,1
786,124,26,2,1
790,82,14,0,1
792,144,33,3,1
793,171,79,2,1
795,123,7,7,1
796,70,8,2,1
798,223,95,2,1
801,47,10,6,1
802,118,61,0,1
804,106,28,4,1
805,122,32,2,1
812,104,24,4,1
814,194,50,1,1
819,558,70,5,1
823,127,37,1,1
824,139,21,0,1
827,470,133,1,1
837,146,40,3,1
844,143,22,1,1
855,110,49,8,1
861,168,41,0,1
872,425,38,4,1
873,98,29,0,1
881,343,58,2,1
887,108,26,0,1
888,179,35,0,1
892,112,39,4,1
893,90,14,4,1
895,380,121,2,1
897,85,24,2,1
905,150,35,1,1
909,157,33,0,1
913,227,53,3,1
916,342,116,0,1
918,124,37,0,1
922,292,71,2,1
934,283,4,2,1
938,114,22,0,1
940,119,22,2,1
946,170,24,1,1
947,109,36,2,1
948,117,29,5,1
951,630,61,1,1
956,118,57,3,1
970,128,14,4,1
978,80,27,1,1
981,115,47,0,1
991,150,8,3,1
993,173,9,0,1
1002,88,28,0,1
1006,270,63,1,1
1024,103,28,1,1
1026,114,42,2,1
1029,214,48,1,1
1031,159,49,2,1
1033,116,12,1,1
1034,108,76,0,1
1036,90,26,0,1
1039,139,38,1,1
1040,260,50,6,1
1045,166,41,0,1
1052,91,7,0,1
1054,459,99,0,1
1059,127,40,1,1
1064,116,30,0,1
1068,201,25,0,1
1071,86,25,0,1
1077,91,9,1,1
