UserID,ActivityTime
1,15
2,0
3,1
4,2
5,23
6,2
7,12
8,9
9,0
10,5
11,7
12,21
13,13
14,15
15,14
16,14
17,2
18,0
19,2
20,1
21,23
22,8
23,12
24,13
25,12
26,12
27,3
28,17
29,19
30,12
31,13
32,17
33,3
34,2
35,13
36,12
37,2
38,1
39,14
40,11
41,12
42,13
43,13
44,12
45,15
46,13
47,13
48,0
49,16
50,22
51,13
52,14
53,14
54,1
55,17
56,17
57,0
58,3
59,19
60,13
61,21
62,15
63,14
64,6
65,13
66,0
67,9
68,0
69,2
70,1
71,0
72,10
73,11
74,23
75,15
76,0
77,11
78,20
79,16
80,17
81,13
82,15
83,12
84,17
85,20
86,23
87,14
88,5
89,13
90,13
91,15
92,20
93,17
94,19
95,12
96,0
97,13
98,17
99,13
100,16
101,22
102,0
103,13
104,14
105,2
106,2
107,13
108,3
109,18
110,14
111,2
112,3
113,11
114,0
115,17
116,16
117,13
118,14
119,6
120,3
121,17
122,18
123,11
124,14
125,4
126,16
127,12
128,12
129,15
130,18
131,8
132,11
133,19
134,0
135,17
136,0
137,11
138,13
139,4
140,15
141,12
142,3
143,13
144,22
145,15
146,21
147,16
148,22
149,16
150,13
151,22
152,16
153,13
154,0
155,16
156,19
157,22
158,13
159,14
160,20
161,15
162,17
163,14
164,22
165,8
166,1
167,13
168,16
169,13
170,13
171,13
172,20
173,14
174,16
175,11
176,0
177,1
178,14
179,1
180,13
181,5
182,16
183,16
184,6
185,0
186,15
187,13
188,13
189,19
190,10
191,23
192,16
193,0
194,14
195,2
196,5
197,23
198,16
199,14
200,18
201,19
202,3
203,0
204,18
205,0
206,14
207,0
208,0
209,10
210,2
211,20
212,14
213,13
214,19
215,16
216,22
217,14
218,23
219,10
220,14
221,16
222,19
223,18
224,17
225,14
226,17
227,12
228,16
229,15
230,4
231,0
232,16
233,2
234,11
235,13
236,21
237,0
238,0
239,12
240,13
241,15
242,16
243,21
244,13
245,15
246,16
247,23
248,0
249,18
250,1
251,23
252,0
253,14
254,18
255,0
256,14
257,15
258,19
259,13
260,13
261,1
262,21
263,12
264,23
265,1
266,19
267,1
268,23
269,11
270,7
271,14
272,20
273,13
274,18
275,0
276,13
277,11
278,16
279,2
280,2
281,13
282,12
283,14
284,3
285,5
286,21
287,10
288,11
289,0
290,1
291,0
292,16
293,17
294,0
295,0
296,16
297,11
298,14
299,13
300,22
301,15
302,15
303,16
304,11
305,15
306,15
307,13
308,14
309,12
310,16
311,19
312,17
313,23
314,17
315,23
316,6
317,5
318,21
319,21
320,23
321,12
322,2
323,22
324,23
325,2
326,19
327,15
328,1
329,3
330,0
331,11
332,11
333,8
334,1
335,1
336,4
337,13
338,14
339,23
340,14
341,16
342,16
343,1
344,16
345,4
346,14
347,13
348,13
349,0
350,12
351,23
352,0
353,14
354,12
355,0
356,11
357,13
358,2
359,13
360,0
361,1
362,13
363,5
364,21
365,14
366,3
367,23
368,1
369,10
370,17
371,4
372,16
373,21
374,2
375,16
376,15
377,13
378,15
379,11
380,13
381,19
382,12
383,12
384,5
385,11
386,12
387,0
388,16
389,0
390,16
391,10
392,0
393,18
394,1
395,23
396,13
397,2
398,12
399,0
400,12
401,1
402,14
403,21
404,13
405,12
406,7
407,22
408,13
409,10
410,1
411,12
412,14
413,7
414,3
415,19
416,2
417,0
418,0
419,2
420,1
421,16
422,14
423,0
424,16
425,15
426,5
427,22
428,22
429,5
430,18
431,15
432,18
433,18
434,13
435,1
436,11
437,13
438,12
439,15
440,12
441,1
442,12
443,9
444,19
445,13
446,13
447,11
448,14
449,2
450,2
451,3
452,23
453,20
454,23
455,12
456,15
457,2
458,16
459,14
460,1
461,15
462,22
463,17
464,15
465,13
466,22
467,16
468,0
469,13
470,18
471,1
472,10
473,12
474,0
475,13
476,5
477,9
478,14
479,11
480,3
481,12
482,15
483,1
484,2
485,0
486,20
487,15
488,10
489,21
490,10
491,22
492,19
493,5
494,14
495,19
496,21
497,21
498,23
499,13
500,13
501,21
502,2
503,14
504,0
505,1
506,19
507,15
508,0
509,22
510,21
511,16
512,9
513,14
514,13
515,0
516,14
517,22
518,16
519,1
520,12
521,17
522,17
523,13
524,23
525,18
526,14
527,0
528,14
529,14
530,13
531,3
532,13
533,16
534,3
535,12
536,13
537,1
538,13
539,16
540,13
541,15
542,1
543,11
544,16
545,1
546,13
547,0
548,17
549,12
550,0
551,12
552,3
553,22
554,22
555,6
556,20
557,16
558,5
559,15
560,12
561,11
562,13
563,21
564,12
565,16
566,14
567,20
568,17
569,23
570,16
571,11
572,21
573,18
574,0
575,2
576,13
577,16
578,22
579,16
580,22
581,14
582,0
583,16
584,3
585,10
586,21
587,14
588,19
589,1
590,21
591,14
592,15
593,13
594,20
595,3
596,13
597,14
598,2
599,13
601,23
602,9
603,21
604,7
605,14
606,14
607,12
608,16
609,6
610,19
611,2
612,13
613,18
614,0
615,19
616,14
617,13
618,17
619,2
620,16
621,16
622,17
623,13
624,15
625,16
626,13
627,20
628,0
629,2
630,0
631,16
632,3
633,2
634,1
635,21
636,0
637,3
638,3
639,20
640,1
641,0
642,12
643,15
644,3
645,13
646,3
647,12
648,15
649,14
650,23
651,0
652,16
653,14
654,2
655,12
656,17
657,13
658,11
659,13
660,14
661,19
662,20
663,15
664,21
665,10
666,16
667,20
668,16
669,14
670,10
