UserID,CheckIn,LocationFrequency,ActivityTime,Cluster
1,101,46,15,1
2,116,33,0,0
3,111,25,1,0
4,127,26,2,0
7,226,83,12,1
8,82,6,9,1
9,152,63,0,0
10,178,68,5,0
11,63,1,7,0
12,309,99,21,1
14,295,70,15,1
15,180,93,14,1
16,118,42,14,1
17,123,35,2,0
18,80,21,0,0
19,331,80,2,0
20,196,33,1,0
21,107,9,23,1
23,172,31,12,1
24,109,32,13,1
26,148,26,12,1
27,97,12,3,0
28,74,27,17,1
29,134,32,19,1
30,124,39,12,1
31,77,16,13,1
32,75,23,17,1
33,121,14,3,0
34,318,56,2,0
35,113,8,13,1
37,143,34,2,0
38,86,19,1,0
39,123,38,14,1
40,132,49,11,1
42,110,7,13,1
43,279,44,13,1
44,31,5,12,1
45,127,58,15,1
46,132,15,13,1
47,84,22,13,1
48,85,23,0,0
49,205,48,16,1
50,270,67,22,1
51,122,18,13,1
52,116,8,14,1
53,143,5,14,1
54,82,12,1,0
55,81,23,17,1
56,269,87,17,1
57,119,21,0,0
58,107,80,3,0
59,95,26,19,1
60,89,13,13,1
61,121,32,21,1
62,83,22,15,1
63,90,19,14,1
65,330,68,13,1
66,97,4,0,0
67,169,32,9,1
69,404,58,2,0
70,275,41,1,0
71,153,82,0,0
72,101,12,10,1
73,231,101,11,1
74,142,67,23,1
75,100,29,15,1
76,99,9,0,0
78,89,18,20,1
79,77,9,16,1
80,230,46,17,1
81,345,43,13,1
82,226,8,15,1
83,135,22,12,1
84,1187,335,17,1
85,107,32,20,1
86,83,26,23,1
87,127,34,14,1
88,181,11,5,0
89,87,5,13,1
90,292,86,13,1
91,278,17,15,1
92,99,43,20,1
93,184,20,17,1
94,119,4,19,1
95,506,28,12,1
96,220,55,0,0
97,139,35,13,1
98,114,31,17,1
99,311,42,13,1
100,232,180,16,1
101,85,18,22,1
102,78,10,0,0
103,96,60,13,1
104,92,13,14,1
105,131,25,2,0
107,127,62,13,1
108,147,37,3,0
110,121,20,14,1
111,110,9,2,0
112,73,20,3,0
113,101,58,11,1
114,98,34,0,0
115,110,26,17,1
116,113,32,16,1
117,117,36,13,1
118,117,24,14,1
119,329,120,6,0
120,511,56,3,0
121,433,157,17,1
122,86,34,18,1
123,122,53,11,1
124,158,14,14,1
125,101,13,4,0
126,96,30,16,1
127,69,7,12,1
128,58,7,12,1
129,149,28,15,1
130,118,45,18,1
131,78,36,8,0
132,158,16,11,1
133,85,19,19,1
134,90,36,0,0
135,83,27,17,1
136,144,55,0,0
138,249,20,13,1
139,126,18,4,0
140,93,30,15,1
141,99,21,12,1
142,83,22,3,0
143,110,2,13,1
144,182,39,22,1
145,180,36,15,1
148,100,33,22,1
149,167,45,16,1
150,242,34,13,1
151,35,4,22,1
152,120,29,16,1
153,225,79,13,1
155,137,29,16,1
157,98,10,22,1
158,106,17,13,1
159,123,19,14,1
160,98,25,20,1
161,76,18,15,1
162,105,26,17,1
163,79,23,14,1
164,232,55,22,1
166,92,38,1,0
167,89,11,13,1
168,117,19,16,1
169,167,46,13,1
170,137,27,13,1
171,169,54,13,1
172,308,57,20,1
173,233,110,14,1
