UserID,CheckIn,LocationFrequency
1,101,46
2,116,33
3,111,25
4,127,26
7,226,83
8,82,6
9,152,63
10,178,68
11,63,1
12,309,99
14,295,70
15,180,93
16,118,42
17,123,35
18,80,21
19,331,80
20,196,33
21,107,9
23,172,31
24,109,32
26,148,26
27,97,12
28,74,27
29,134,32
30,124,39
31,77,16
32,75,23
33,121,14
34,318,56
35,113,8
37,143,34
38,86,19
39,123,38
40,132,49
42,110,7
43,279,44
44,31,5
45,127,58
46,132,15
47,84,22
48,85,23
49,205,48
50,270,67
51,122,18
52,116,8
53,143,5
54,82,12
55,81,23
56,269,87
57,119,21
58,107,80
59,95,26
60,89,13
61,121,32
62,83,22
63,90,19
65,330,68
66,97,4
67,169,32
69,404,58
70,275,41
71,153,82
72,101,12
73,231,101
74,142,67
75,100,29
76,99,9
78,89,18
79,77,9
80,230,46
81,345,43
82,226,8
83,135,22
84,1187,335
85,107,32
86,83,26
87,127,34
88,181,11
89,87,5
90,292,86
91,278,17
92,99,43
93,184,20
94,119,4
95,506,28
96,220,55
97,139,35
98,114,31
99,311,42
100,232,180
101,85,18
102,78,10
103,96,60
104,92,13
105,131,25
107,127,62
108,147,37
110,121,20
111,110,9
112,73,20
113,101,58
114,98,34
115,110,26
116,113,32
117,117,36
118,117,24
119,329,120
120,511,56
121,433,157
122,86,34
123,122,53
124,158,14
125,101,13
126,96,30
127,69,7
128,58,7
129,149,28
130,118,45
131,78,36
132,158,16
133,85,19
134,90,36
135,83,27
136,144,55
138,249,20
139,126,18
140,93,30
141,99,21
142,83,22
143,110,2
144,182,39
145,180,36
148,100,33
149,167,45
150,242,34
151,35,4
152,120,29
153,225,79
155,137,29
157,98,10
158,106,17
159,123,19
160,98,25
161,76,18
162,105,26
163,79,23
164,232,55
166,92,38
167,89,11
168,117,19
169,167,46
170,137,27
171,169,54
172,308,57
173,233,110
175,91,22
176,167,33
177,80,11
178,768,155
179,166,54
180,204,31
181,383,13
182,231,57
183,77,10
184,323,115
185,1530,290
