UserID,CheckIn,LocationFrequency,ActivityTime
1,101,46,15
2,116,33,0
3,111,25,1
4,127,26,2
7,226,83,12
8,82,6,9
9,152,63,0
10,178,68,5
11,63,1,7
12,309,99,21
14,295,70,15
15,180,93,14
16,118,42,14
17,123,35,2
18,80,21,0
19,331,80,2
20,196,33,1
21,107,9,23
23,172,31,12
24,109,32,13
26,148,26,12
27,97,12,3
28,74,27,17
29,134,32,19
30,124,39,12
31,77,16,13
32,75,23,17
33,121,14,3
34,318,56,2
35,113,8,13
37,143,34,2
38,86,19,1
39,123,38,14
40,132,49,11
42,110,7,13
43,279,44,13
44,31,5,12
45,127,58,15
46,132,15,13
47,84,22,13
48,85,23,0
49,205,48,16
50,270,67,22
51,122,18,13
52,116,8,14
53,143,5,14
54,82,12,1
55,81,23,17
56,269,87,17
57,119,21,0
58,107,80,3
59,95,26,19
60,89,13,13
61,121,32,21
62,83,22,15
63,90,19,14
65,330,68,13
66,97,4,0
67,169,32,9
69,404,58,2
70,275,41,1
71,153,82,0
72,101,12,10
73,231,101,11
74,142,67,23
75,100,29,15
76,99,9,0
78,89,18,20
79,77,9,16
80,230,46,17
81,345,43,13
82,226,8,15
83,135,22,12
84,1187,335,17
85,107,32,20
86,83,26,23
87,127,34,14
88,181,11,5
89,87,5,13
90,292,86,13
91,278,17,15
92,99,43,20
93,184,20,17
94,119,4,19
95,506,28,12
96,220,55,0
97,139,35,13
98,114,31,17
99,311,42,13
100,232,180,16
101,85,18,22
102,78,10,0
103,96,60,13
104,92,13,14
105,131,25,2
107,127,62,13
108,147,37,3
110,121,20,14
111,110,9,2
112,73,20,3
113,101,58,11
114,98,34,0
115,110,26,17
116,113,32,16
117,117,36,13
118,117,24,14
119,329,120,6
120,511,56,3
121,433,157,17
122,86,34,18
123,122,53,11
124,158,14,14
125,101,13,4
126,96,30,16
127,69,7,12
128,58,7,12
129,149,28,15
130,118,45,18
131,78,36,8
132,158,16,11
133,85,19,19
134,90,36,0
135,83,27,17
136,144,55,0
138,249,20,13
139,126,18,4
140,93,30,15
141,99,21,12
142,83,22,3
143,110,2,13
144,182,39,22
145,180,36,15
148,100,33,22
149,167,45,16
150,242,34,13
151,35,4,22
152,120,29,16
153,225,79,13
155,137,29,16
157,98,10,22
158,106,17,13
159,123,19,14
160,98,25,20
161,76,18,15
162,105,26,17
163,79,23,14
164,232,55,22
166,92,38,1
167,89,11,13
168,117,19,16
169,167,46,13
170,137,27,13
171,169,54,13
172,308,57,20
173,233,110,14
175,91,22,11
176,167,33,0
177,80,11,1
178,768,155,14
179,166,54,1
180,204,31,13
181,383,13,5
182,231,57,16
183,77,10,16
184,323,115,6
185,1530,290,0
186,166,43,15
187,498,54,13
188,275,84,13
189,148,31,19
190,85,16,10
191,162,25,23
192,61,17,16
193,268,16,0
194,109,44,14
195,119,55,2
196,104,27,5
198,76,10,16
199,222,34,14
200,76,9,18
201,98,15,19
202,228,95,3
203,98,27,0
204,100,37,18
206,171,44,14
207,297,43,0
208,267,64,0
210,140,59,2
211,137,15,20
212,167,52,14
213,93,10,13
214,131,52,19
215,201,51,16
216,124,42,22
217,233,63,14
218,141,67,23
219,91,14,10
220,102,23,14
221,132,21,16
222,123,22,19
225,158,69,14
226,88,21,17
227,84,20,12
228,87,36,16
229,105,9,15
230,118,36,4
231,119,39,0
233,103,26,2
234,90,4,11
235,182,50,13
237,67,2,0
238,212,61,0
240,97,27,13
241,87,16,15
242,145,28,16
243,173,26,21
244,170,37,13
245,88,31,15
246,386,95,16
247,99,26,23
248,87,32,0
250,145,32,1
251,86,20,23
252,77,12,0
253,110,21,14
254,244,17,18
255,141,30,0
256,119,46,14
257,77,19,15
258,101,20,19
259,158,23,13
260,126,24,13
261,168,14,1
264,107,27,23
265,76,17,1
266,99,28,19
267,500,87,1
269,101,14,11
270,155,44,7
271,164,73,14
272,150,68,20
273,111,53,13
274,92,22,18
275,151,31,0
276,174,72,13
277,148,28,11
278,262,9,16
279,95,33,2
280,533,158,2
281,318,150,13
282,121,11,12
283,136,36,14
284,87,14,3
285,76,21,5
286,80,12,21
287,161,21,10
288,220,25,11
289,211,32,0
290,98,20,1
291,180,44,0
292,98,27,16
293,1769,171,17
294,104,16,0
295,251,38,0
296,195,46,16
297,87,19,11
298,99,25,14
299,114,13,13
300,177,47,22
301,115,46,15
302,170,25,15
303,100,49,16
304,141,37,11
305,89,10,15
306,259,37,15
307,99,34,13
308,90,13,14
309,104,16,12
310,157,34,16
311,191,27,19
312,147,39,17
313,161,52,23
314,164,44,17
315,1144,232,23
316,112,30,6
317,130,43,5
318,124,62,21
319,470,48,21
320,88,32,23
321,102,38,12
322,112,21,2
323,131,34,22
324,89,35,23
325,92,11,2
326,68,14,19
327,110,25,15
328,104,21,1
329,73,28,3
330,155,57,0
331,224,21,11
332,103,40,11
333,108,6,8
334,139,26,1
335,424,108,1
337,160,41,13
338,98,21,14
339,82,25,23
340,161,32,14
342,168,39,16
343,150,20,1
344,346,66,16
345,65,26,4
346,104,26,14
347,256,75,13
348,131,32,13
349,778,178,0
350,77,7,12
351,190,12,23
352,58,22,0
353,130,18,14
354,1843,198,12
355,332,57,0
356,92,25,11
357,101,19,13
358,84,27,2
359,389,52,13
360,153,61,0
361,109,16,1
362,158,58,13
363,117,47,5
364,213,46,21
365,299,90,14
366,106,12,3
367,107,34,23
368,90,39,1
370,110,20,17
371,702,127,4
372,453,88,16
373,152,72,21
374,128,25,2
