,癤풳ser ID,Venue ID,Venue category ID,Venue category name,Latitude,Longitude,Timezone offset in minutes,UTC time
52441,797,4f008bfa61af974bcea5389f,4bf58dd8d48988d103941735,Home (private),40.71931256,-73.83602511,-240,Sun May 06 22:35:14 +0000 2012
52442,880,4cdc5ba33f6a8cfa29e8f0ea,4f2a210c4b9023bd5841ed28,Housing Development,40.7875497,-73.94378623,-240,Sun May 06 22:36:13 +0000 2012
52443,159,4afdf64bf964a520782c22e3,4bf58dd8d48988d14e941735,American Restaurant,40.96654854,-74.07587528,-240,Sun May 06 22:38:18 +0000 2012
52444,525,4f5684de771657f331e5ca01,4bf58dd8d48988d103941735,Home (private),40.96324076,-74.0946311,-240,Sun May 06 22:38:19 +0000 2012
52445,635,4f1d6a0ce4b085450898a7ee,4bf58dd8d48988d103941735,Home (private),40.67008029,-73.9065883,-240,Sun May 06 22:38:30 +0000 2012
52446,643,4ab64ad9f964a5207e7620e3,4bf58dd8d48988d163941735,Park,40.82677705,-74.24656443,-240,Sun May 06 22:39:26 +0000 2012
52447,389,4a411ea5f964a520cba41fe3,4bf58dd8d48988d121941735,Bar,40.71581961,-74.00887039,-240,Sun May 06 22:39:28 +0000 2012
52448,285,4b55b2b1f964a52045ec27e3,4bf58dd8d48988d163941735,Park,40.65684335,-73.96807194,-240,Sun May 06 22:39:32 +0000 2012
52449,397,4b60d6c7f964a520bafc29e3,4bf58dd8d48988d1fd931735,Subway,40.76464888,-73.96635532,-240,Sun May 06 22:39:54 +0000 2012
52450,638,4abe7a18f964a520e78d20e3,4bf58dd8d48988d165941735,Scenic Lookout,40.77976355,-73.97008628,-240,Sun May 06 22:39:54 +0000 2012
52451,1040,3fd66200f964a5208de81ee3,4bf58dd8d48988d118941735,Bar,40.75999389,-73.99179224,-240,Sun May 06 22:40:44 +0000 2012
52452,590,4b7d6f3df964a52009be2fe3,4bf58dd8d48988d196941735,Medical Center,40.7287873,-73.85198593,-240,Sun May 06 22:41:13 +0000 2012
52453,214,4aa5571ef964a520094820e3,4bf58dd8d48988d1e6941735,Athletic & Sport,40.745616,-74.00990329,-240,Sun May 06 22:41:22 +0000 2012
52454,201,4cdc2a55d5495481971240b2,4bf58dd8d48988d1f6941735,Department Store,40.7666432,-73.98281067,-240,Sun May 06 22:41:28 +0000 2012
52455,373,3fd66200f964a52058e91ee3,4bf58dd8d48988d14e941735,American Restaurant,40.77300188,-73.95554066,-240,Sun May 06 22:41:50 +0000 2012
52456,737,49da752af964a5208c5e1fe3,4bf58dd8d48988d1c9941735,Ice Cream Shop,40.72515022,-73.98304598,-240,Sun May 06 22:41:57 +0000 2012
52457,15,42699000f964a52047211fe3,4bf58dd8d48988d110941735,Italian Restaurant,40.72443788,-74.00274171,-240,Sun May 06 22:42:22 +0000 2012
52458,185,4db617c76e8179a9139d7b58,4bf58dd8d48988d1f9931735,Road,40.96530185,-74.06305252,-240,Sun May 06 22:42:23 +0000 2012
52459,1012,4eda1085f5b921398839dd94,4bf58dd8d48988d103941735,Home (private),40.73569746,-73.81249842,-240,Sun May 06 22:42:43 +0000 2012
52460,827,4e91cfcbdab46521c194ad2d,4bf58dd8d48988d163941735,Park,40.79038765,-73.80055308,-240,Sun May 06 22:43:16 +0000 2012
52461,840,4bcf20ff77b29c74a1698882,4bf58dd8d48988d126941735,Government Building,40.65062473,-73.76847267,-240,Sun May 06 22:43:24 +0000 2012
52462,1014,453cacc7f964a520153c1fe3,4bf58dd8d48988d180941735,Movie Theater,40.74276196,-73.97692323,-240,Sun May 06 22:43:39 +0000 2012
52463,932,4a46c0b1f964a52065a91fe3,4bf58dd8d48988d17f941735,Movie Theater,40.80939181,-73.95174265,-240,Sun May 06 22:44:29 +0000 2012
52464,724,4b8bbeedf964a52052a932e3,4eb1bc533b7b2c5b1d4306cb,Airport,40.64899673,-73.78297806,-240,Sun May 06 22:44:39 +0000 2012
52465,440,4e286ba7ae60078b2fcb1551,4bf58dd8d48988d117941735,Beer Garden,40.75518429,-74.03163889,-240,Sun May 06 22:45:04 +0000 2012
52466,252,4af21f0bf964a52002e621e3,4bf58dd8d48988d176941735,Gym / Fitness Center,40.76416097,-73.92883213,-240,Sun May 06 22:47:12 +0000 2012
52467,773,4d2522feb9796dcb7e19a639,4bf58dd8d48988d1f9931735,Road,40.73646082,-73.87830693,-240,Sun May 06 22:48:46 +0000 2012
52468,927,42893400f964a52052231fe3,4bf58dd8d48988d163941735,Park,40.66390777,-73.97094727,-240,Sun May 06 22:49:21 +0000 2012
52469,261,4d4113ec1bd2a14343e6f97c,4bf58dd8d48988d103941735,Home (private),40.693029,-73.85954899,-240,Sun May 06 22:49:22 +0000 2012
52470,1023,3fd66200f964a52008eb1ee3,4bf58dd8d48988d116941735,Bar,40.78373199,-73.95044304,-240,Sun May 06 22:50:03 +0000 2012
52471,353,4bdf11b76198c9b648d915ff,4bf58dd8d48988d12d951735,Ferry,40.67114233,-74.01398063,-240,Sun May 06 22:50:43 +0000 2012
52472,212,4840fe6bf964a52030501fe3,4bf58dd8d48988d1fe931735,Bus Station,40.7572213,-73.99154663,-240,Sun May 06 22:50:58 +0000 2012
52473,516,4b1d4d9bf964a520780e24e3,4bf58dd8d48988d103941735,Home (private),40.72143496,-74.05938719,-240,Sun May 06 22:51:21 +0000 2012
52474,246,423e0e80f964a52044201fe3,4bf58dd8d48988d1d8941735,Bar,40.75176892,-74.0041993,-240,Sun May 06 22:51:29 +0000 2012
52475,329,4a83505ef964a520bffa1fe3,4bf58dd8d48988d112941735,Bar,40.71536266,-73.99738756,-240,Sun May 06 22:52:02 +0000 2012
52476,877,4f3d4cd3e4b0b4a7ce0f9c31,4bf58dd8d48988d150941735,Spanish Restaurant,40.61456201,-73.99143069,-240,Sun May 06 22:52:17 +0000 2012
52477,514,4e2aefd4aeb745b1fabd9ba8,4bf58dd8d48988d1f7941735,Flea Market,40.69170793,-73.98287954,-240,Sun May 06 22:53:29 +0000 2012
52478,692,4f25673be4b0acaff92b03d6,4bf58dd8d48988d14e941735,American Restaurant,40.71985954,-74.04701471,-240,Sun May 06 22:53:41 +0000 2012
52479,9,461352e3f964a52038451fe3,4bf58dd8d48988d111941735,Japanese Restaurant,40.72881428,-73.98454963,-240,Sun May 06 22:54:36 +0000 2012
52480,773,4b756c73f964a520bd0b2ee3,4bf58dd8d48988d118951735,Food & Drink Shop,40.74392638,-73.92377257,-240,Sun May 06 22:54:37 +0000 2012
52481,340,4dcabca41f6e2812677e3598,4bf58dd8d48988d110941735,Italian Restaurant,40.71811007,-73.95754527,-240,Sun May 06 22:55:02 +0000 2012
52482,818,45ab7c7af964a52044411fe3,4bf58dd8d48988d181941735,Museum,40.74407066,-73.98738384,-240,Sun May 06 22:56:02 +0000 2012
52483,335,4c019ee727dcc928bcdfe052,4bf58dd8d48988d1c9941735,Ice Cream Shop,40.61368906,-73.91657523,-240,Sun May 06 22:56:23 +0000 2012
52484,607,3fd66200f964a520f2e91ee3,4bf58dd8d48988d145941735,Chinese Restaurant,40.73510277,-73.99836888,-240,Sun May 06 22:57:05 +0000 2012
52485,977,3fd66200f964a5202ce51ee3,4bf58dd8d48988d10c941735,French Restaurant,40.72680644,-73.98277624,-240,Sun May 06 22:57:17 +0000 2012
52486,310,46d41aa8f964a520604a1fe3,4bf58dd8d48988d11d941735,Bar,40.7600187,-73.98401589,-240,Sun May 06 22:57:29 +0000 2012
52487,560,4bc9de44b6c49c74f31d8f91,4bf58dd8d48988d10d951735,Record Shop,40.72734925,-73.99031309,-240,Sun May 06 22:57:36 +0000 2012
52488,138,4a295965f964a52085951fe3,4bf58dd8d48988d16b941735,Brazilian Restaurant,40.757771,-73.932086,-240,Sun May 06 22:57:37 +0000 2012
52489,201,4a065273f964a520ec721fe3,4bf58dd8d48988d117951735,Candy Store,40.76022,-73.98439,-240,Sun May 06 22:57:48 +0000 2012
52490,153,49c43598f964a520ad561fe3,4bf58dd8d48988d115941735,Middle Eastern Restaurant,40.7442855,-73.98748802,-240,Sun May 06 22:57:51 +0000 2012
52491,702,4e71561b7d8b53db1bc11bce,4bf58dd8d48988d103941735,Home (private),40.57912418,-73.82426211,-240,Sun May 06 22:58:24 +0000 2012
52492,727,4a076650f964a52059731fe3,4bf58dd8d48988d149941735,Thai Restaurant,40.734931,-73.983026,-240,Sun May 06 22:58:26 +0000 2012
52493,646,4b58da5ff964a520da6e28e3,4bf58dd8d48988d198941735,College Academic Building,40.72917755,-73.99661064,-240,Sun May 06 22:59:46 +0000 2012
52494,768,4f10846be4b0a6addf41dabc,4bf58dd8d48988d1e1941735,Athletic & Sport,40.80183929,-74.0141201,-240,Sun May 06 23:00:36 +0000 2012
52495,10,4a7dda88f964a520e5ef1fe3,4bf58dd8d48988d149941735,Thai Restaurant,40.77965184,-73.9506644,-240,Sun May 06 23:00:58 +0000 2012
52496,186,4a909420f964a520a21820e3,5032792091d4c4b30a586d5c,Concert Hall,40.7644376,-73.96912336,-240,Sun May 06 23:02:15 +0000 2012
52497,286,4af4c165f964a520d1f521e3,4bf58dd8d48988d113941735,Korean Restaurant,40.748013,-73.987263,-240,Sun May 06 23:03:16 +0000 2012
52498,947,4f0226b200395214c70f902d,4bf58dd8d48988d103941735,Home (private),40.67343128,-73.93010371,-240,Sun May 06 23:03:25 +0000 2012
52499,871,4c4ca999b301b7130ad70789,4bf58dd8d48988d103941735,Home (private),40.76741096,-73.96537147,-240,Sun May 06 23:03:37 +0000 2012
52500,474,4abe3770f964a520078c20e3,4bf58dd8d48988d1fd931735,Subway,40.61230103,-73.9822425,-240,Sun May 06 23:05:05 +0000 2012
52501,527,42829c80f964a5206a221fe3,4bf58dd8d48988d129951735,Train Station,40.75280621,-73.97717535,-240,Sun May 06 23:05:08 +0000 2012
52502,726,49ef714cf964a520b6681fe3,4bf58dd8d48988d1e0931735,Coffee Shop,40.75230027,-73.97565186,-240,Sun May 06 23:05:13 +0000 2012
52503,726,42af6f80f964a5205a251fe3,4bf58dd8d48988d175941735,Gym / Fitness Center,40.75231,-73.975419,-240,Sun May 06 23:05:26 +0000 2012
52504,726,42911d00f964a52007241fe3,4bf58dd8d48988d11b941735,Bar,40.75178502,-73.97398939,-240,Sun May 06 23:05:54 +0000 2012
52505,26,4b4a3881f964a5205c7f26e3,4bf58dd8d48988d16f941735,Hot Dog Joint,40.9490799,-74.13823128,-240,Sun May 06 23:06:08 +0000 2012
52506,478,4bc9d1ee68f976b049e35d83,4bf58dd8d48988d1e0941735,Harbor / Marina,40.707122,-74.003732,-240,Sun May 06 23:06:32 +0000 2012
52507,150,4a65bd5cf964a52095c71fe3,4bf58dd8d48988d1f2931735,Performing Arts Venue,40.72973041,-73.99755478,-240,Sun May 06 23:06:43 +0000 2012
52508,448,4c2e8f153896e21eb88ae290,4bf58dd8d48988d10f951735,Drugstore / Pharmacy,40.78125961,-74.02147144,-240,Sun May 06 23:08:04 +0000 2012
52509,431,40afe980f964a5203bf31ee3,4bf58dd8d48988d180941735,Movie Theater,40.75703139,-73.98902607,-240,Sun May 06 23:08:05 +0000 2012
52510,1039,4a31831df964a520e9991fe3,4bf58dd8d48988d180941735,Movie Theater,40.72690102,-74.03768063,-240,Sun May 06 23:08:21 +0000 2012
52511,527,4f297313754afd81930ef192,4bf58dd8d48988d16f941735,Hot Dog Joint,40.75281068,-73.97726655,-240,Sun May 06 23:09:45 +0000 2012
52512,652,4b48c4a8f964a520195626e3,4bf58dd8d48988d119951735,Food & Drink Shop,40.7373,-74.03744,-240,Sun May 06 23:10:35 +0000 2012
52513,527,4b82fa73f964a52090f030e3,4bf58dd8d48988d1ff941735,Miscellaneous Shop,40.75277927,-73.97710013,-240,Sun May 06 23:12:11 +0000 2012
52514,726,4ddd0a8f1838306b821414a4,4bf58dd8d48988d1c5941735,Sandwich Place,40.75228878,-73.97421323,-240,Sun May 06 23:12:20 +0000 2012
52515,726,49e79ffdf964a520e3641fe3,4bf58dd8d48988d1cc941735,Steakhouse,40.75103293,-73.97515449,-240,Sun May 06 23:12:40 +0000 2012
52516,726,42829c80f964a5206a221fe3,4bf58dd8d48988d129951735,Train Station,40.75280621,-73.97717535,-240,Sun May 06 23:12:56 +0000 2012
52517,768,4b91836bf964a52017c233e3,4bf58dd8d48988d113951735,Gas Station / Garage,40.80235417,-74.01239946,-240,Sun May 06 23:13:17 +0000 2012
