,Unnamed: 0,Unnamed: 0_x,User ID,Location Frequency,Activity,Main Activity Time,Cluster,Unnamed: 0_y,Venue ID,Venue category ID,Venue category name,Latitude,Longitude,Timezone offset in minutes,UTC time
0,0,0,2,0,1,0,0,1642,4ef372169adf60f8399b4bd7,4bf58dd8d48988d16a941735,Bakery,40.74657708,-73.98173171,-240,Wed Apr 04 13:43:46 +0000 2012
1,1,0,2,0,1,0,0,1807,49cbb6f9f964a5200f591fe3,4bf58dd8d48988d1f6941735,Department Store,40.75831462,-73.97728379,-240,Wed Apr 04 15:36:09 +0000 2012
2,2,0,2,0,1,0,0,5275,4b194ddaf964a520efda23e3,4bf58dd8d48988d143941735,Breakfast Spot,40.6243772,-74.14858267,-240,Sun Apr 08 15:11:51 +0000 2012
3,3,0,2,0,1,0,0,6669,4beee07fd355a5935b7c0b60,4bf58dd8d48988d110941735,Italian Restaurant,40.60142934,-74.1761,-240,Mon Apr 09 16:04:38 +0000 2012
4,4,0,2,0,1,0,0,10274,4b004fc9f964a520ab3c22e3,4bf58dd8d48988d1f8941735,Furniture / Home Store,40.65205482,-73.87064662,-240,Wed Apr 11 19:43:59 +0000 2012
5,5,0,2,0,1,0,0,12530,4a1c91b1f964a520527b1fe3,4bf58dd8d48988d1e0931735,Coffee Shop,40.73719358,-73.99653554,-240,Thu Apr 12 23:21:29 +0000 2012
6,6,0,2,0,1,0,0,15624,4d48864b551db1f722e9a330,4bf58dd8d48988d175941735,Gym / Fitness Center,40.64668884,-73.91399171,-240,Sat Apr 14 14:41:33 +0000 2012
7,7,0,2,0,1,0,0,15874,4ee3d902a69d89905b82e7e5,4bf58dd8d48988d1e0931735,Coffee Shop,40.61069464,-73.92015766,-240,Sat Apr 14 17:15:20 +0000 2012
8,8,0,2,0,1,0,0,21870,4ba43a73f964a520f08d38e3,4bf58dd8d48988d1fa931735,Hotel,40.61473455,-74.17708482,-240,Tue Apr 17 23:53:19 +0000 2012
9,9,0,2,0,1,0,0,22243,4a3df25ff964a520c2a21fe3,4bf58dd8d48988d164941735,Plaza,40.72988184,-73.99101958,-240,Wed Apr 18 12:40:43 +0000 2012
10,10,0,2,0,1,0,0,22829,4b8f50d9f964a520365133e3,4bf58dd8d48988d1fd931735,Subway,40.64609878,-73.90266895,-240,Wed Apr 18 17:26:41 +0000 2012
11,11,0,2,0,1,0,0,25270,4b4c9bf6f964a52078b726e3,4bf58dd8d48988d11a951735,Bridal Shop,40.75926925,-73.97556067,-240,Thu Apr 19 21:51:20 +0000 2012
12,12,0,2,0,1,0,0,25716,4a4d10fbf964a52082ad1fe3,4bf58dd8d48988d1fd931735,Subway,40.67837611,-73.90339851,-240,Fri Apr 20 00:44:53 +0000 2012
13,13,0,2,0,1,0,0,27264,4ba134f9f964a52006a237e3,4f2a210c4b9023bd5841ed28,Housing Development,40.58813384,-73.80020019,-240,Fri Apr 20 18:28:34 +0000 2012
14,14,0,2,0,1,0,0,29547,4a62bb49f964a5207bc41fe3,4bf58dd8d48988d14e941735,American Restaurant,40.57520598,-73.98374615,-240,Sun Apr 22 00:11:13 +0000 2012
15,15,0,2,0,1,0,0,32559,4f5afb6ee4b02628c0a936d6,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),40.628256,-74.122758,-240,Mon Apr 23 17:03:14 +0000 2012
16,16,0,2,0,1,0,0,32802,4a478d19f964a520d2a91fe3,4e74f6cabd41c4836eac4c31,Ferry,40.64440554,-74.07295704,-240,Mon Apr 23 19:05:28 +0000 2012
17,17,0,2,0,1,0,0,33441,4b086783f964a520250b23e3,4bf58dd8d48988d149941735,Thai Restaurant,40.74452814,-73.99875337,-240,Tue Apr 24 00:39:51 +0000 2012
18,18,0,2,0,1,0,0,34639,4c099260a1b32d7fd3f497f0,4bf58dd8d48988d103941735,Home (private),40.62578449,-74.08288386,-240,Tue Apr 24 17:14:46 +0000 2012
19,19,0,2,0,1,0,0,34722,4e95fe144901d620b78076f2,4bf58dd8d48988d146941735,Deli / Bodega,40.616124,-74.103939,-240,Tue Apr 24 17:58:27 +0000 2012
20,20,0,2,0,1,0,0,35498,4b242ae5f964a520b76224e3,4bf58dd8d48988d1e0931735,Coffee Shop,40.60486403,-73.99864434,-240,Wed Apr 25 11:54:30 +0000 2012
21,21,0,2,0,1,0,0,38178,4d48864b551db1f722e9a330,4bf58dd8d48988d175941735,Gym / Fitness Center,40.64668884,-73.91399171,-240,Thu Apr 26 15:18:16 +0000 2012
22,22,0,2,0,1,0,0,39748,42508380f964a520c1201fe3,4bf58dd8d48988d110941735,Italian Restaurant,40.60750423,-73.94299406,-240,Fri Apr 27 23:15:23 +0000 2012
23,23,0,2,0,1,0,0,42128,4a43c0aef964a520c6a61fe3,4bf58dd8d48988d1df941735,Bridge,40.60679958,-74.04416981,-240,Sun Apr 29 01:01:09 +0000 2012
